* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Oct 21, Oct 21, Oct 21
* Dated: Oct 21, 2023 8:24:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Oct 21, Oct 21, Oct 21
* Measurement: RMS Average 1
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	89.694
20.600000	89.803
21.200001	89.903
21.799999	89.997
22.400000	90.085
23.000000	90.170
23.600000	90.249
24.299999	90.331
25.000000	90.405
25.799999	90.481
26.500000	90.542
27.200001	90.597
28.000000	90.652
29.000000	90.710
30.000000	90.767
30.700001	90.808
31.500000	90.848
32.500000	90.891
33.500000	90.933
34.500000	90.964
35.500000	90.991
36.500000	91.020
37.500000	91.043
38.700001	91.067
40.000000	91.092
41.200001	91.111
42.500000	91.124
43.700001	91.137
45.000000	91.146
46.200001	91.150
47.500000	91.152
48.700001	91.156
50.000000	91.160
51.500000	91.159
53.000000	91.168
54.500000	91.159
56.000000	91.150
58.000000	91.134
60.000000	91.131
61.500000	91.119
63.000000	91.112
65.000000	91.095
67.000000	91.084
69.000000	91.067
71.000000	91.047
73.000000	91.032
75.000000	91.014
77.500000	90.987
80.000000	90.961
82.500000	90.945
85.000000	90.908
87.500000	90.879
90.000000	90.854
92.500000	90.826
95.000000	90.796
97.500000	90.765
100.000000	90.739
103.000000	90.712
106.000000	90.675
109.000000	90.648
112.000000	90.601
115.000000	90.587
118.000000	90.558
122.000000	90.516
125.000000	90.482
128.000000	90.451
132.000000	90.423
136.000000	90.395
140.000000	90.389
145.000000	90.415
150.000000	90.453
155.000000	90.476
160.000000	90.467
165.000000	90.453
170.000000	90.425
175.000000	90.389
180.000000	90.348
185.000000	90.308
190.000000	90.258
195.000000	90.202
200.000000	90.147
206.000000	90.064
212.000000	90.015
218.000000	89.929
224.000000	89.882
230.000000	89.811
236.000000	89.751
243.000000	89.676
250.000000	89.596
258.000000	89.510
265.000000	89.443
272.000000	89.364
280.000000	89.286
290.000000	89.185
300.000000	89.080
307.000000	89.010
315.000000	88.930
325.000000	88.828
335.000000	88.727
345.000000	88.625
355.000000	88.522
365.000000	88.410
375.000000	88.300
387.000000	88.173
400.000000	88.040
412.000000	87.920
425.000000	87.792
437.000000	87.676
450.000000	87.547
462.000000	87.432
475.000000	87.306
487.000000	87.193
500.000000	87.070
515.000000	86.930
530.000000	86.790
545.000000	86.653
560.000000	86.518
580.000000	86.338
600.000000	86.160
615.000000	86.033
630.000000	85.903
650.000000	85.738
670.000000	85.573
690.000000	85.416
710.000000	85.265
730.000000	85.117
750.000000	84.978
775.000000	84.815
800.000000	84.664
825.000000	84.526
850.000000	84.413
875.000000	84.316
900.000000	84.248
925.000000	84.208
950.000000	84.199
975.000000	84.224
1000.000000	84.282
1030.000000	84.393
1060.000000	84.553
1090.000000	84.743
1120.000000	84.951
1150.000000	85.164
1180.000000	85.366
1220.000000	85.602
1250.000000	85.741
1280.000000	85.853
1320.000000	85.952
1360.000000	86.008
1400.000000	86.031
1450.000000	86.042
1500.000000	86.069
1550.000000	86.139
1600.000000	86.245
1650.000000	86.342
1700.000000	86.418
1750.000000	86.487
1800.000000	86.566
1850.000000	86.662
1900.000000	86.784
1950.000000	86.932
2000.000000	87.105
2060.000000	87.349
2120.000000	87.632
2180.000000	87.953
2240.000000	88.312
2300.000000	88.710
2360.000000	89.143
2430.000000	89.690
2500.000000	90.278
2580.000000	90.977
2650.000000	91.591
2720.000000	92.182
2800.000000	92.785
2900.000000	93.340
3000.000000	93.580
3070.000000	93.545
3150.000000	93.327
3250.000000	92.868
3350.000000	92.296
3450.000000	91.691
3550.000000	91.106
3650.000000	90.570
3750.000000	90.096
3870.000000	89.616
4000.000000	89.210
4120.000000	88.939
4250.000000	88.755
4370.000000	88.685
4500.000000	88.724
4620.000000	88.866
4750.000000	89.123
4870.000000	89.423
5000.000000	89.773
5150.000000	90.153
5300.000000	90.375
5450.000000	90.195
5600.000000	88.868
5800.000000	88.429
6000.000000	87.543
6150.000000	86.660
6300.000000	85.834
6500.000000	84.890
6700.000000	84.229
6900.000000	83.948
7100.000000	84.013
7300.000000	84.344
7500.000000	84.851
7750.000000	85.851
8000.000000	86.709
8250.000000	86.059
8500.000000	83.324
8750.000000	79.724
9000.000000	75.242
9250.000000	80.191
9500.000000	79.525
9750.000000	76.506
10000.000000	75.135
10300.000000	74.322
10600.000000	74.090
10900.000000	74.278
11200.000000	74.376
11500.000000	74.226
11800.000000	74.426
12200.000000	73.504
12500.000000	72.340
12800.000000	71.216
13200.000000	70.207
13600.000000	69.942
14000.000000	70.548
14500.000000	72.994
15000.000000	77.706
15500.000000	77.358
16000.000000	72.092
16500.000000	69.184
17000.000000	68.429
17500.000000	69.854
18000.000000	73.280
18500.000000	74.993
19000.000000	72.728
19500.000000	72.172
