* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Oct 21, Oct 21, Oct 21
* Dated: Oct 21, 2023 8:24:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Oct 21, Oct 21, Oct 21
* Measurement: RMS Average 1
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	91.358
20.600000	91.469
21.200001	91.569
21.799999	91.665
22.400000	91.757
23.000000	91.839
23.600000	91.908
24.299999	91.983
25.000000	92.064
25.799999	92.148
26.500000	92.203
27.200001	92.253
28.000000	92.309
29.000000	92.365
30.000000	92.418
30.700001	92.457
31.500000	92.493
32.500000	92.533
33.500000	92.569
34.500000	92.599
35.500000	92.627
36.500000	92.649
37.500000	92.668
38.700001	92.688
40.000000	92.709
41.200001	92.725
42.500000	92.736
43.700001	92.742
45.000000	92.750
46.200001	92.753
47.500000	92.756
48.700001	92.759
50.000000	92.758
51.500000	92.753
53.000000	92.743
54.500000	92.747
56.000000	92.726
58.000000	92.716
60.000000	92.701
61.500000	92.688
63.000000	92.678
65.000000	92.660
67.000000	92.641
69.000000	92.618
71.000000	92.600
73.000000	92.583
75.000000	92.553
77.500000	92.522
80.000000	92.495
82.500000	92.464
85.000000	92.429
87.500000	92.396
90.000000	92.364
92.500000	92.329
95.000000	92.294
97.500000	92.264
100.000000	92.236
103.000000	92.192
106.000000	92.136
109.000000	92.112
112.000000	92.069
115.000000	92.029
118.000000	92.007
122.000000	91.938
125.000000	91.887
128.000000	91.847
132.000000	91.825
136.000000	91.812
140.000000	91.819
145.000000	91.833
150.000000	91.816
155.000000	91.766
160.000000	91.739
165.000000	91.687
170.000000	91.636
175.000000	91.586
180.000000	91.536
185.000000	91.480
190.000000	91.417
195.000000	91.359
200.000000	91.289
206.000000	91.204
212.000000	91.136
218.000000	91.053
224.000000	90.983
230.000000	90.893
236.000000	90.837
243.000000	90.749
250.000000	90.656
258.000000	90.550
265.000000	90.457
272.000000	90.369
280.000000	90.269
290.000000	90.141
300.000000	90.014
307.000000	89.927
315.000000	89.829
325.000000	89.702
335.000000	89.580
345.000000	89.458
355.000000	89.337
365.000000	89.215
375.000000	89.093
387.000000	88.946
400.000000	88.787
412.000000	88.646
425.000000	88.497
437.000000	88.359
450.000000	88.212
462.000000	88.079
475.000000	87.936
487.000000	87.805
500.000000	87.664
515.000000	87.505
530.000000	87.349
545.000000	87.194
560.000000	87.043
580.000000	86.846
600.000000	86.654
615.000000	86.510
630.000000	86.371
650.000000	86.188
670.000000	86.010
690.000000	85.838
710.000000	85.674
730.000000	85.513
750.000000	85.362
775.000000	85.184
800.000000	85.020
825.000000	84.876
850.000000	84.750
875.000000	84.646
900.000000	84.569
925.000000	84.517
950.000000	84.497
975.000000	84.515
1000.000000	84.562
1030.000000	84.663
1060.000000	84.809
1090.000000	84.986
1120.000000	85.184
1150.000000	85.385
1180.000000	85.575
1220.000000	85.796
1250.000000	85.928
1280.000000	86.031
1320.000000	86.123
1360.000000	86.178
1400.000000	86.216
1450.000000	86.267
1500.000000	86.342
1550.000000	86.414
1600.000000	86.460
1650.000000	86.491
1700.000000	86.524
1750.000000	86.575
1800.000000	86.647
1850.000000	86.744
1900.000000	86.867
1950.000000	87.014
2000.000000	87.188
2060.000000	87.433
2120.000000	87.718
2180.000000	88.038
2240.000000	88.396
2300.000000	88.790
2360.000000	89.220
2430.000000	89.759
2500.000000	90.336
2580.000000	91.026
2650.000000	91.636
2720.000000	92.222
2800.000000	92.812
2900.000000	93.347
3000.000000	93.570
3070.000000	93.531
3150.000000	93.311
3250.000000	92.852
3350.000000	92.282
3450.000000	91.678
3550.000000	91.091
3650.000000	90.550
3750.000000	90.070
3870.000000	89.580
4000.000000	89.158
4120.000000	88.864
4250.000000	88.653
4370.000000	88.559
4500.000000	88.574
4620.000000	88.704
4750.000000	88.967
4870.000000	89.275
5000.000000	89.627
5150.000000	90.011
5300.000000	90.264
5450.000000	90.266
5600.000000	89.950
5800.000000	89.094
6000.000000	87.997
6150.000000	87.179
6300.000000	86.442
6500.000000	85.691
6700.000000	85.330
6900.000000	85.361
7100.000000	84.571
7300.000000	84.857
7500.000000	85.555
7750.000000	86.701
8000.000000	87.279
8250.000000	85.679
8500.000000	82.572
8750.000000	79.499
9000.000000	76.891
9250.000000	74.598
9500.000000	72.138
9750.000000	69.591
10000.000000	77.493
10300.000000	75.862
10600.000000	74.811
10900.000000	74.663
11200.000000	74.855
11500.000000	74.958
11800.000000	74.584
12200.000000	73.276
12500.000000	72.077
12800.000000	71.039
13200.000000	70.186
13600.000000	70.119
14000.000000	70.989
14500.000000	73.862
15000.000000	78.437
15500.000000	76.566
16000.000000	71.602
16500.000000	69.113
17000.000000	68.781
17500.000000	70.556
18000.000000	74.058
18500.000000	74.968
19000.000000	72.586
19500.000000	71.846
